Stock,N,Obs >3s,Exp >3s,Obs >4s,Exp >4s,Obs >5s,Exp >5s
ACS,3985,52,10.759500000000001,24,0.2391,13,0.002391
Acciona,3985,54,10.759500000000001,16,0.2391,6,0.002391
ArcelorMittal,3985,54,10.759500000000001,15,0.2391,5,0.002391
BBVA,3985,55,10.759500000000001,17,0.2391,7,0.002391
Banco Sabadell,3985,47,10.759500000000001,24,0.2391,13,0.002391
Banco Santander,3985,44,10.759500000000001,14,0.2391,9,0.002391
Bankinter,3985,28,10.759500000000001,11,0.2391,9,0.002391
Enagás,3985,43,10.759500000000001,14,0.2391,5,0.002391
Ferrovial,3985,50,10.759500000000001,14,0.2391,9,0.002391
Grifols,3985,50,10.759500000000001,28,0.2391,14,0.002391
Iberdrola,3985,67,10.759500000000001,22,0.2391,7,0.002391
Inditex,3985,54,10.759500000000001,18,0.2391,5,0.002391
Indra Sistemas,3985,51,10.759500000000001,28,0.2391,14,0.002391
International Airlines Group,3818,46,10.3086,19,0.22908,10,0.0022908
Mapfre,3985,54,10.759500000000001,23,0.2391,12,0.002391
Naturgy,3985,54,10.759500000000001,17,0.2391,12,0.002391
Red Eléctrica de España,3733,39,10.0791,11,0.22398,4,0.0022397999999999997
Repsol,3985,66,10.759500000000001,21,0.2391,10,0.002391
Telefónica,3985,48,10.759500000000001,19,0.2391,10,0.002391
