Stock,JBStat,JBPVal,ShapiroStat,ShapiroPVal
ACS,51791.102936829004,0.0,0.8905055206685176,1.076036042089132e-46
Acciona,4622.637388846995,0.0,0.9568880212376643,8.167781096342762e-33
ArcelorMittal,2661.226649737672,0.0,0.9603498204401882,1.081683660108726e-31
BBVA,5223.903932720606,0.0,0.9481600212598784,2.3365511453804214e-35
Banco Sabadell,12039.976798869233,0.0,0.9239475850679956,5.785159610991161e-41
Banco Santander,8148.850995359562,0.0,0.9504767018703263,1.020018278998291e-34
Bankinter,2248509.85139324,0.0,0.7736933683324186,2.8504658040470902e-59
Enagás,7002.829160644746,0.0,0.959254603135359,4.689477369248888e-32
Ferrovial,6559.042229443837,0.0,0.9486815843503456,3.240892155994766e-35
Grifols,132263.2701043145,0.0,0.8640393395780197,2.7756488024380497e-50
Iberdrola,8339.09690967342,0.0,0.9361945044600299,2.421768777006028e-38
Inditex,4374.520489284531,0.0,0.9585207260099361,2.704857809541611e-32
Indra Sistemas,9291.029227838031,0.0,0.9297659956479747,9.161229802304528e-40
International Airlines Group,21345.67227786697,0.0,0.9212259035903031,8.32072911437506e-41
Mapfre,13323.775740873854,0.0,0.9274729692268768,3.019616930633721e-40
Naturgy,24498.62179869095,0.0,0.9175362801422643,3.3369938069880884e-42
Red Eléctrica de España,3815.141131315574,0.0,0.9640843417496247,1.6158083835852568e-29
Repsol,10617.714173388378,0.0,0.9275724358298796,3.1666768954142134e-40
Telefónica,27358.052433610614,0.0,0.9160596064979101,1.7745760792825165e-42
