Ticker,Equal,M1-MinVar,M2-CVaR,M3-Semivar
Bankinter,0.05263157894736842,0.0,0.0,0.00144601315964144
Inditex,0.05263157894736842,0.13383491891497523,0.24189468924943308,0.1858521769533253
Naturgy,0.05263157894736842,9.22186887162438e-19,0.0,1.630280106896552e-17
Telefónica,0.05263157894736842,4.519122681874264e-18,0.0,0.0
Banco Sabadell,0.05263157894736842,5.687727236366948e-19,0.0,7.449833843673199e-18
Grifols,0.05263157894736842,0.20485240965696128,0.3276120643021472,0.2233243693707459
Banco Santander,0.05263157894736842,2.868698222251073e-18,0.0,0.0
Ferrovial,0.05263157894736842,0.09604207691750437,0.0,0.09105187538214651
Enagás,0.05263157894736842,0.18310500458232565,0.0,0.15136665057703105
ArcelorMittal,0.05263157894736842,6.561699802468612e-18,0.0,0.0
Mapfre,0.05263157894736842,4.398844003364152e-18,0.0,2.4239245720136412e-18
Acciona,0.05263157894736842,2.10975670151122e-18,0.0,4.329143326578732e-18
Red Eléctrica de España,0.05263157894736842,0.24557822611960362,0.3769932796218439,0.2502001761245646
International Airlines Group,0.05263157894736842,0.0,0.0,4.088585969558511e-18
BBVA,0.05263157894736842,6.240312897289243e-19,0.0,6.816032059717358e-18
ACS,0.05263157894736842,0.0,0.0,7.669841270549692e-18
Repsol,0.05263157894736842,8.792201992499638e-19,0.0,1.6601845766184287e-18
Indra Sistemas,0.05263157894736842,0.045821238643825285,0.05349996682657394,0.026632497114050028
Iberdrola,0.05263157894736842,0.09076612516480459,0.0,0.07012624131849524
